Sample	Label
signer0_sample7	56 
signer0_sample24	196 
signer0_sample27	242 
signer0_sample35	302 
signer0_sample75	674 
signer0_sample78	695 
signer0_sample82	738 
signer0_sample122	1110 
signer0_sample142	1286 
signer0_sample143	1296 
signer0_sample145	1309 
signer0_sample150	1368 
signer0_sample152	1396 
signer0_sample154	1455 
signer0_sample157	1483 
signer0_sample159	1532 
signer0_sample160	1549 
signer0_sample161	1565 
signer0_sample162	1577 
signer0_sample164	1589 
signer0_sample171	1722 
signer0_sample174	1764 
signer0_sample185	1945 
signer0_sample186	1947 
signer0_sample187	1958 
signer1_sample2	636 
signer1_sample9	1383 
signer1_sample10	1649 
signer2_sample3	18 
signer2_sample11	54 
signer2_sample13	65 
signer2_sample15	75 
signer2_sample27	183 
signer2_sample35	207 
signer2_sample53	266 
signer2_sample55	269 
signer2_sample58	273 
signer2_sample65	324 
signer2_sample92	405 
signer2_sample93	407 
signer2_sample97	430 
signer2_sample136	576 
signer2_sample150	635 
signer2_sample171	711 
signer2_sample180	756 
signer2_sample189	774 
signer2_sample195	790 
signer2_sample346	1283 
signer2_sample347	1284 
signer2_sample348	1290 
signer2_sample349	1291 
signer2_sample353	1303 
signer2_sample354	1304 
signer2_sample355	1305 
signer2_sample356	1310 
signer2_sample357	1311 
signer2_sample358	1313 
signer2_sample360	1316 
signer2_sample361	1319 
signer2_sample362	1322 
signer2_sample367	1333 
signer2_sample372	1359 
signer2_sample376	1370 
signer2_sample377	1371 
signer2_sample380	1380 
signer2_sample381	1389 
signer2_sample384	1398 
signer2_sample386	1407 
signer2_sample389	1418 
signer2_sample390	1424 
signer2_sample391	1426 
signer2_sample395	1434 
signer2_sample397	1447 
signer2_sample399	1449 
signer2_sample401	1452 
signer2_sample404	1457 
signer2_sample405	1459 
signer2_sample406	1461 
signer2_sample411	1473 
signer2_sample416	1486 
signer2_sample418	1492 
signer2_sample419	1493 
signer2_sample421	1500 
signer2_sample422	1501 
signer2_sample423	1504 
signer2_sample424	1505 
signer2_sample426	1508 
signer2_sample427	1510 
signer2_sample428	1514 
signer2_sample434	1538 
signer2_sample436	1540 
signer2_sample440	1550 
signer2_sample441	1551 
signer2_sample442	1554 
signer2_sample445	1567 
signer2_sample449	1574 
signer2_sample452	1590 
signer2_sample453	1592 
signer2_sample455	1599 
signer2_sample461	1610 
signer2_sample462	1611 
signer2_sample463	1612 
signer2_sample473	1636 
signer2_sample474	1642 
signer2_sample477	1651 
signer2_sample478	1653 
signer2_sample482	1664 
signer2_sample487	1681 
signer2_sample491	1711 
signer2_sample492	1714 
signer2_sample495	1733 
signer2_sample498	1743 
signer2_sample499	1745 
signer2_sample504	1760 
signer2_sample505	1770 
signer2_sample509	1797 
signer2_sample520	1866 
signer2_sample521	1867 
signer2_sample528	1889 
signer2_sample534	1900 
signer2_sample535	1904 
signer2_sample545	1936 
signer2_sample550	1955 
signer2_sample552	1961 
signer3_sample14	309 
signer3_sample18	343 
signer3_sample21	539 
signer3_sample23	618 
signer4_sample19	20 
signer4_sample22	20 
signer4_sample34	43 
signer4_sample45	59 
signer4_sample49	63 
signer4_sample54	74 
signer4_sample57	80 
signer4_sample85	152 
signer4_sample96	172 
signer4_sample109	189 
signer4_sample112	203 
signer4_sample116	215 
signer4_sample118	218 
signer4_sample119	220 
signer4_sample124	224 
signer4_sample128	231 
