Sample	Gloss
signer0_sample7	corn 
signer0_sample24	convince 
signer0_sample27	sign 
signer0_sample35	move 
signer0_sample75	dessert 
signer0_sample78	forest 
signer0_sample82	neutral 
signer0_sample122	farm 
signer0_sample142	action 
signer0_sample143	alcohol 
signer0_sample145	assistant 
signer0_sample150	detach 
signer0_sample152	farmer 
signer0_sample154	microphone 
signer0_sample157	piece 
signer0_sample159	silver 
signer0_sample160	speak 
signer0_sample161	technology 
signer0_sample162	tonight 
signer0_sample164	wallet 
signer0_sample171	dull 
signer0_sample174	graduation 
signer0_sample185	sprint 
signer0_sample186	stadium 
signer0_sample187	swimming 
signer1_sample2	and 
signer1_sample9	eighteen 
signer1_sample10	buffalo 
signer2_sample3	all 
signer2_sample11	change 
signer2_sample13	last 
signer2_sample15	work 
signer2_sample27	balance 
signer2_sample35	future 
signer2_sample53	cereal 
signer2_sample55	cough 
signer2_sample58	disappear 
signer2_sample65	silly 
signer2_sample92	idea 
signer2_sample93	investigate 
signer2_sample97	pepper 
signer2_sample136	present 
signer2_sample150	analyze 
signer2_sample171	her 
signer2_sample180	reject 
signer2_sample189	sky 
signer2_sample195	triangle 
signer2_sample346	abdomen 
signer2_sample347	able 
signer2_sample348	affect 
signer2_sample349	afraid 
signer2_sample353	appetite 
signer2_sample354	appreciate 
signer2_sample355	april 
signer2_sample356	attend 
signer2_sample357	auction 
signer2_sample358	average 
signer2_sample360	babysitter 
signer2_sample361	belief 
signer2_sample362	blend 
signer2_sample367	calculator 
signer2_sample372	cruel 
signer2_sample376	diabetes 
signer2_sample377	dime 
signer2_sample380	economy 
signer2_sample381	eternity 
signer2_sample384	federal 
signer2_sample386	gamble 
signer2_sample389	gun 
signer2_sample390	hurricane 
signer2_sample391	include 
signer2_sample395	involve 
signer2_sample397	lip 
signer2_sample399	local 
signer2_sample401	member 
signer2_sample404	monthly 
signer2_sample405	nation 
signer2_sample406	nickel 
signer2_sample411	paragraph 
signer2_sample416	plenty 
signer2_sample418	praise 
signer2_sample419	preach 
signer2_sample421	professor 
signer2_sample422	promote 
signer2_sample423	quote 
signer2_sample424	receive 
signer2_sample426	refer 
signer2_sample427	relate 
signer2_sample428	reputation 
signer2_sample434	skunk 
signer2_sample436	smooth 
signer2_sample440	speed 
signer2_sample441	spell 
signer2_sample442	standard 
signer2_sample445	tender 
signer2_sample449	throat 
signer2_sample452	wander 
signer2_sample453	weight 
signer2_sample455	wrap 
signer2_sample461	aid 
signer2_sample462	alligator 
signer2_sample463	amputate 
signer2_sample473	blow 
signer2_sample474	braid 
signer2_sample477	bush 
signer2_sample478	camel 
signer2_sample482	click 
signer2_sample487	conversation 
signer2_sample491	discipline 
signer2_sample492	disturb 
signer2_sample495	enormous 
signer2_sample498	fairy 
signer2_sample499	festival 
signer2_sample504	geometry 
signer2_sample505	hanukkah 
signer2_sample509	lady 
signer2_sample520	polar bear 
signer2_sample521	policeman 
signer2_sample528	pure 
signer2_sample534	recliner 
signer2_sample535	release 
signer2_sample545	soldier 
signer2_sample550	superman 
signer2_sample552	telescope 
signer3_sample14	not 
signer3_sample18	wednesday 
signer3_sample21	friday 
signer3_sample23	tuesday 
signer4_sample19	cool 
signer4_sample22	cool 
signer4_sample34	language 
signer4_sample45	dark 
signer4_sample49	forget 
signer4_sample54	want 
signer4_sample57	but 
signer4_sample85	example 
signer4_sample96	stay 
signer4_sample109	careful 
signer4_sample112	drop 
signer4_sample116	husband 
signer4_sample118	light 
signer4_sample119	make 
signer4_sample124	music 
signer4_sample128	past 
signer4_sample130	practice 
signer4_sample132	since 
signer4_sample133	teach 
signer4_sample134	ugly 
signer4_sample137	baby 
signer4_sample140	back 
signer4_sample142	champion 
signer4_sample143	cheese 
signer4_sample155	kill 
signer4_sample156	match 
signer4_sample157	near 
signer4_sample159	patient 
signer4_sample161	straight 
signer4_sample163	throw 
signer4_sample164	voice 
signer4_sample170	alone 
signer4_sample173	balloon 
signer4_sample175	believe 
signer4_sample182	escape 
signer4_sample185	floor 
signer4_sample193	investigate 
signer4_sample195	lettuce 
signer4_sample196	mirror 
signer4_sample197	necklace 
signer4_sample198	plus 
signer4_sample202	research 
signer4_sample203	scared 
signer4_sample206	speech 
signer4_sample209	there 
signer4_sample213	transfer 
signer4_sample215	weather 
signer4_sample220	bark 
signer4_sample221	bark 
signer4_sample223	carrot 
signer4_sample242	europe 
signer4_sample243	exchange 
signer4_sample244	exchange 
signer4_sample245	face 
signer4_sample246	face 
signer4_sample255	history 
signer4_sample286	worry 
signer4_sample291	arrest 
signer4_sample306	calm 
signer4_sample308	cancel 
signer4_sample310	comfortable 
signer4_sample311	deodorant 
signer4_sample313	diamond 
signer4_sample317	equal 
signer4_sample324	ignore 
signer4_sample326	independent 
signer4_sample328	insurance 
signer4_sample330	lecture 
signer4_sample332	limit 
signer4_sample335	maybe 
signer4_sample343	prepare 
signer4_sample357	special 
signer4_sample377	chance 
signer4_sample407	hawaii 
signer4_sample408	herself 
signer4_sample411	if 
signer4_sample414	interview 
signer4_sample417	lead 
signer4_sample422	perfect 
signer4_sample423	philosophy 
signer4_sample444	shrimp 
signer4_sample459	symbol 
signer4_sample466	vocabulary 
signer4_sample539	ahead 
signer4_sample547	archery 
signer4_sample552	beginning 
signer4_sample560	calculate 
signer4_sample564	come here 
signer4_sample570	confront 
signer4_sample590	downstairs 
signer4_sample609	innocent 
signer4_sample611	karate 
signer4_sample616	organize 
signer4_sample619	perfume 
signer4_sample621	pneumonia 
signer4_sample627	professional 
signer4_sample649	statistics 
signer4_sample668	clueless 
signer4_sample690	moose 
signer4_sample718	truth 
signer4_sample723	wheelchair 
signer5_sample6	drink 
signer5_sample16	chair 
signer5_sample42	yes 
signer5_sample44	all 
signer5_sample49	black 
signer5_sample57	hot 
signer5_sample64	many 
signer5_sample66	many 
signer5_sample69	mother 
signer5_sample80	table 
signer5_sample85	woman 
signer5_sample88	bed 
signer5_sample102	fish 
signer5_sample107	hat 
signer5_sample110	hearing 
signer5_sample115	kiss 
signer5_sample120	man 
signer5_sample137	accident 
signer5_sample147	cow 
signer5_sample151	dark 
signer5_sample166	last 
signer5_sample178	secretary 
signer5_sample186	africa 
signer5_sample189	birthday 
signer5_sample265	check 
signer5_sample332	first 
signer5_sample382	about 
signer5_sample390	beard 
signer5_sample391	because 
signer5_sample397	business 
signer5_sample401	center 
signer5_sample413	discuss 
signer5_sample429	government 
signer5_sample442	join 
signer5_sample448	more 
signer5_sample478	sign 
signer5_sample481	small 
signer5_sample489	theory 
signer5_sample492	train 
signer5_sample501	your 
signer5_sample514	behind 
signer5_sample518	catch 
signer5_sample527	delicious 
signer5_sample537	father 
signer5_sample548	hour 
signer5_sample562	match 
signer5_sample568	money 
signer5_sample592	patient 
signer5_sample594	pay 
signer5_sample596	perspective 
signer5_sample603	secret 
signer5_sample606	sister 
signer5_sample625	traffic 
signer5_sample632	use 
signer5_sample651	australia 
signer5_sample656	bear 
signer5_sample659	better 
signer5_sample661	better 
signer5_sample665	box 
signer5_sample668	car 
signer5_sample670	chicken 
signer5_sample672	choose 
signer5_sample683	earn 
signer5_sample686	english 
signer5_sample693	fight 
signer5_sample700	from 
signer5_sample703	happen 
signer5_sample718	kitchen 
signer5_sample739	newspaper 
signer5_sample741	newspaper 
signer5_sample748	picture 
signer5_sample762	sentence 
signer5_sample789	truck 
signer5_sample792	uncle 
signer5_sample797	accept 
signer5_sample798	adult 
signer5_sample801	america 
signer5_sample803	answer 
signer5_sample806	any 
signer5_sample809	asl 
signer5_sample810	asl 
signer5_sample811	aunt 
signer5_sample821	both 
signer5_sample824	cause 
signer5_sample826	challenge 
signer5_sample829	chocolate 
signer5_sample831	compare 
signer5_sample836	corner 
signer5_sample837	corner 
signer5_sample838	curse 
signer5_sample841	dead 
signer5_sample845	desert 
signer5_sample851	duty 
signer5_sample852	duty 
signer5_sample858	email 
signer5_sample862	enter 
signer5_sample863	enter 
signer5_sample870	fail 
signer5_sample871	fail 
signer5_sample872	feed 
signer5_sample873	feed 
signer5_sample876	flag 
signer5_sample878	for 
signer5_sample879	for 
signer5_sample886	guess 
signer5_sample888	high 
signer5_sample892	introduce 
signer5_sample897	lazy 
signer5_sample899	library 
signer5_sample902	lie 
signer5_sample903	love 
signer5_sample907	magazine 
signer5_sample915	number 
signer5_sample916	peach 
signer5_sample918	polite 
signer5_sample930	salad 
signer5_sample932	schedule 
signer5_sample934	sell 
signer5_sample941	soft 
signer5_sample943	soup 
signer5_sample944	spain 
signer5_sample949	strange 
signer5_sample950	street 
signer5_sample951	strict 
signer5_sample956	summer 
signer5_sample963	that 
signer5_sample985	young 
signer5_sample1005	bottom 
signer5_sample1039	fact 
signer5_sample1049	goal 
signer5_sample1053	group 
signer5_sample1056	hate 
signer5_sample1067	listen 
signer5_sample1068	listen 
signer5_sample1089	pass 
signer5_sample1115	shock 
signer5_sample1124	sky 
signer5_sample1129	steal 
signer5_sample1137	sunrise 
signer5_sample1159	alarm 
signer5_sample1161	almost 
signer5_sample1165	august 
signer5_sample1168	beautiful 
signer5_sample1176	boyfriend 
signer5_sample1188	clear 
signer5_sample1192	community 
signer5_sample1195	cop 
signer5_sample1199	curriculum 
signer5_sample1205	dumb 
signer5_sample1208	embarrass 
signer5_sample1211	enough 
signer5_sample1218	function 
signer5_sample1221	gloves 
signer5_sample1232	interpret 
signer5_sample1250	minus 
signer5_sample1257	neck 
signer5_sample1260	ocean 
signer5_sample1265	pain 
signer5_sample1269	parents 
signer5_sample1272	period 
signer5_sample1274	place 
signer5_sample1275	policy 
signer5_sample1282	prove 
signer5_sample1284	psychology 
signer5_sample1285	puzzled 
signer5_sample1287	question 
signer5_sample1301	service 
signer5_sample1304	side 
signer5_sample1306	situation 
signer5_sample1308	soccer 
signer5_sample1310	socks 
signer5_sample1317	start 
signer5_sample1327	sweater 
signer5_sample1332	their 
signer5_sample1342	welcome 
signer5_sample1346	wristwatch 
signer5_sample1354	bee 
signer5_sample1355	behavior 
signer5_sample1374	director 
signer5_sample1375	each 
signer5_sample1380	excuse 
signer5_sample1381	faculty 
signer5_sample1382	fall in love 
signer5_sample1386	flirt 
signer5_sample1387	flood 
signer5_sample1389	four 
signer5_sample1393	general 
signer5_sample1394	ghost 
signer5_sample1399	hockey 
signer5_sample1403	interpreter 
signer5_sample1406	jewish 
signer5_sample1415	misunderstand 
signer5_sample1419	october 
signer5_sample1421	opposite 
signer5_sample1424	overlook 
signer5_sample1427	physics 
signer5_sample1430	pocket 
signer5_sample1440	report 
signer5_sample1445	role 
signer5_sample1453	search 
signer5_sample1455	selfish 
signer5_sample1456	sensitive 
signer5_sample1457	serve 
signer5_sample1462	shopping 
signer5_sample1464	skill 
signer5_sample1465	sleepy 
signer5_sample1467	specific 
signer5_sample1473	sweep 
signer5_sample1487	willing 
signer5_sample1495	agenda 
signer5_sample1513	company 
signer5_sample1541	free 
signer5_sample1553	honey 
signer5_sample1563	jail 
signer5_sample1583	pet 
signer5_sample1610	slice 
signer5_sample1615	society 
signer5_sample1623	still 
signer5_sample1635	value 
signer5_sample1681	drug 
signer5_sample1699	freeway 
signer5_sample1706	holy 
signer5_sample1726	mosquito 
signer6_sample13	accident 
signer6_sample18	africa 
signer6_sample26	room 
signer6_sample49	some 
